Centro de Bachillerato Tecnológico Industrial y de Servicios No. 171,México,Guanajuato,Abasolo,Abasolo
Preparatoria Abasolo,México,Guanajuato,Abasolo,Abasolo
Centro Educativo Acambarense,México,Guanajuato,Acámbaro,Acámbaro
Centro de Bachillerato Tecnológico Industrial y de Servicios No. 147,México,Guanajuato,Acámbaro,Acámbaro
Miguel Hidalgo y Costilla,México,Guanajuato,Acámbaro,Acámbaro
Josefa Ortiz de Dominguez,México,Guanajuato,Acámbaro,Acámbaro
CONALEP - Plantel Acambaro,México,Guanajuato,Acámbaro,Acámbaro
MIGUEL HIDALGO,México,Guanajuato,Acámbaro,Acámbaro
Escuela Preparatoria 3 (Universidad Autónoma de Nayarit),México,Nayarit,Acaponeta,Acaponeta
Madre Teresa de Calcuta,México,Nayarit,Acaponeta,Acaponeta
Colegio La Salle A.C.,México,Guerrero,Acapulco de Juárez,Acapulco
Bachillerato General Colegio América,México,Guerrero,Acapulco de Juárez,Acapulco
Universidad Americana de Acapulco,México,Guerrero,Acapulco de Juárez,Acapulco
Simón Bolivar,México,Guerrero,Acapulco de Juárez,Acapulco
Instituto Londres,México,Guerrero,Acapulco de Juárez,Acapulco
Universidad Autónoma de Guerrero,México,Guerrero,Acapulco de Juárez,Acapulco
Instituto Tecnológico de Acapulco,México,Guerrero,Acapulco de Juárez,Acapulco
Centro Universitario Anglo Mexicano de Acapulco (U.N.A.M.),México,Guerrero,Acapulco de Juárez,Acapulco
Liceo Ibero Mexicano de Acapulco,México,Guerrero,Acapulco de Juárez,Acapulco
Justo Sierra,México,Guerrero,Acapulco de Juárez,Acapulco
Albert Einstein,México,Guerrero,Acapulco de Juárez,Acapulco
Centro de Estudios Tecnológicos Industriales y de Servicios No. 116,México,Guerrero,Acapulco de Juárez,Acapulco
Colegio Español,México,Guerrero,Acapulco de Juárez,Acapulco
Colegio de Bachilleres - Plantel 2,México,Guerrero,Acapulco de Juárez,Acapulco
Centro de Estudios Tecnológicos Industrial y de Servicios No. 90,México,Guerrero,Acapulco de Juárez,Acapulco
Instituto Guajardo,México,Guerrero,Acapulco de Juárez,Acapulco
Centro de Estudios Tecnológicos Industrial y de Servicios 41,México,Guerrero,Acapulco de Juárez,Acapulco
Escuela Nacional de Matematicas,México,Guerrero,Acapulco de Juárez,Acapulco
Centro Universitario Hipocrates,México,Guerrero,Acapulco de Juárez,Acapulco
Colegio de estudios Cientificos y Tecnologicos d Guerrero 4 El colosio,México,Guerrero,Acapulco de Juárez,Acapulco
"Colegio La Salle, A.C. Acapulco Guerrero",México,Guerrero,Acapulco de Juárez,Acapulco
Centro Universitario Español Bachillerato,México,Guerrero,Acapulco de Juárez,Acapulco
CONALEP Plantel Acapulco I,México,Guerrero,Acapulco de Juárez,Acapulco
BACHILLERATO DE LA UNIVERSIDAD LOYOLA DEL PACIFICO,México,Guerrero,Acapulco de Juárez,Acapulco
BACHILLERATO GENERAL ZUMARRAGA,México,Guerrero,Acapulco de Juárez,Acapulco
Colegio de Bachilleres Plantel No. 32 Adolfo Ruiz Cortines,México,Guerrero,Acapulco de Juárez,Acapulco
Colegio Madrid Bachillerato,México,Guerrero,Acapulco de Juárez,Acapulco
"Centro Educativo Guerrero, S.C.",México,Guerrero,Acapulco de Juárez,Acapulco
"Preparatoria Particular Colegio de Bachillerato Estado de Guerrero""""",México,Guerrero,Acapulco de Juárez,Acapulco
"Preparatoria Particular Incorporada Colegio Nacional de Matemáticas""""",México,Guerrero,Acapulco de Juárez,Acapulco
Universidad América Latina,México,Guerrero,Acapulco de Juárez,Acapulco
